als	if
zijn	be
dat	that
hij	he
was	wax
voor	pro
op	up
met	with
ze	they
bij	with
een	an
hebben	have
deze	this
door	through
heet	hot
woord	word
maar	but
wat	what
sommige	some
is	is
het	the
u	you
of	whether
de	the
aan	on
en	and
in	in
we	we
kan	jug
uit	of
die	those
doen	do
hun	theirs
tijd	time
hoe	how
elk	everyone
vertellen	tell
set	set
drie	trey
willen	wish
lucht	sky
goed	well
ook	too
spelen	play
klein	small
thuis	home
lezen	read
poort	gate
toevoegen	add
zelfs	even
land	land
hier	here
moet	shall
hoog	high
volgen	follow
waarom	why
vragen	question
mannen	men
verandering	variation
ging	went
licht	light
soort	species
huis	house
afbeelding	image
proberen	try
ons	us
weer	weather
dier	animal
punt	point
moeder	mother
wereld	world
dichtbij	near
bouwen	construct
zelf	self
aarde	earth
vader	father
werk	work
deel	share
nemen	take
krijgen	receive
plaats	seat
gemaakt	phoney
wonen	live
waar	where
na	after
terug	back
weinig	little
alleen	only
ronde	round
man	man
jaar	year
kwam	came
elke	every
mij	me
geven	hand
onze	ours
onder	under
naam	name
zeer	very
gewoon	simply
vorm	shape
zin	sentence
denken	think
zeggen	say
helpen	help
laag	low
lijn	line
verschillen	vary
beurt	turn
oorzaak	reason
veel	much
betekenen	mean
verhuizing	move
jongen	lad
alle	all
wanneer	when
omhoog	upwards
gebruiken	utilize
uw	your
manier	way
over	over
dan	then
hen	them
schrijven	write
zou	would
zoals	like
dus	thus
haar	her
lang	tall
maken	tailor
ding	thing
zien	see
hem	him
twee	two
heeft	has
kijken	look
meer	more
dag	day
gaan	walk
komen	come
deed	did
aantal	quantity
klinken	sound
geen	no
meest	most
mensen	people
mijn	my
weten	know
water	water
roep	cry
eerste	prime
kant	way
nu	presently
vinden	find
hoofd	head
staan	stand
eigen	own
pagina	page
moeten	must
gevonden	found
antwoord	response
groeien	grow
studie	study
leren	learn
planten	plant
voedsel	food
zon	sun
vier	four
tussen	between
staat	state
houden	keep
oog	eye
nooit	never
laatste	last
laten	let
gedachte	thought
stad	town
boom	tree
oversteken	cross
boerderij	farm
hard	loudly
begin	start
verhaal	story
zaag	saw
ver	remote
zee	sea
tekenen	sketch
links	left
laat	late
lopen	walk
niet	not
terwijl	whilst
pers	press
dicht	thick
nacht	night
echt	wedlock
leven	live
noorden	north
boek	book
dragen	wear
wetenschap	science
kamer	room
vriend	friend
idee	thought
vis	fish
berg	mountain
stop	fuse
eenmaal	simply
paard	knight
gesneden	chopped
zeker	sure
kleur	colour
gezicht	sight
hout	wood
lijken	seem
samen	together
wit	white
kinderen	kids
beginnen	start
voorbeeld	model
gemak	leisure
papier	paper
groep	group
altijd	always
muziek	music
beide	both
vaak	often
brief	letter
tot	until
mijl	mile
rivier	river
auto	car
voeten	feet
zorg	worry
tweede	second
genoeg	sufficiently
meisje	girl
klaar	ready
boven	upstairs
ooit	once
rood	red
lijst	list
hoewel	though
voelen	feel
vogel	bird
spoedig	speedy
lichaam	body
hond	dog
familie	family
rechtstreeks	straight
pose	pose
vertrekken	leave
lied	song
meten	measure
deur	door
artikel	article
zwart	black
cijfer	number
klasse	class
wind	wind
vraag	question
gebeuren	occur
compleet	fully
schip	ship
gebied	territory
helft	half
rots	rock
brand	fire
zuiden	south
probleem	problem
stuk	piece
passeren	overtake
sinds	since
geheel	whole
straat	street
inch	inch
vermenigvuldigen	multiply
cursus	course
blijven	stay
wiel	wheel
kracht	strength
blauw	blue
object	object
beslissen	determine
maan	moon
eiland	island
